id,name,organization,latitude‎,longitude‎
23996,Отдел истории Кемеровского областного краеведческого музея,mincult,55.3563,86.08
23852,Сосновский районный историко-краеведческий музей,mincult,55.3434,61.3369
23827,Культурный центр Александра Вампилова,mincult,52.2832,104.2883
23603,Экспозиционно-выставочный отдел «Народная галерея»,mincult,55.4378,65.3523
23543,Алуштинский историко-краеведческий музей,mincult,44.6739,34.4148
23534,Государственный музей художественной культуры Новгородской земли,mincult,58.5176,31.2635
23466,Музей истории русского быта г. Нижневартовск,mincult,60.9104,76.6154
23462,Нижневартовский краеведческий музей имени Т. Д. Шуваева,mincult,60.9403,76.5614
23376,Музейно-культурный центр «Центр малочисленных народов Севера»,mincult,62.1405,65.4342
23312,Этнокультурный центр,mincult,63.7235,66.6595
23261,Культурно-выставочный центр Государственного музея героической обороны и освобождения Севастополя,mincult,44.6045,33.5273
23245,Выставочный зал г. Кисловодска,mincult,43.9211,42.7036
23229,Интерактивная экспозиция «Изба-чайная»,mincult,55.5604,34.9945
23227,Историко-художественный музей,mincult,55.5527,35.0039
23123,Дом-музей семьи Гагарина в селе Клушино,mincult,55.6659,35.0401
23122,Дом-музей школьных лет Гагарина,mincult,55.5593,34.9944
23121,Дом-музей родителей первого космонавта,mincult,55.5597,34.9955
23117,Музей первого полета,mincult,55.5535,35.0046
23092,Дом-музей Ефима Михайловича Чепцова,mincult,51.4177,36.1058
23054,Музей-мастерская Зураба Церетели,mincult,55.7662,37.577
23039,Музей ростовского купечества,mincult,57.1821,39.4026
23034,Музейный детский центр,mincult,57.1902,39.4116
23014,Музей мордовской культуры и быта,mincult,54.9741,45.366
23012,Большеболдинский краеведческий музей,mincult,55.1062,45.2085
23011,Картинная галерея,mincult,55.005,45.3172
23008,Музей-квартира А. М. Васнецова,mincult,55.7638,37.6485
23007,«Театральная школа» в музее-усадьбе «Люблино»,mincult,55.688,37.7439
23004,Выставочный зал в Атриуме,mincult,55.672,37.6652
22999,Экспозиция «Голландский домик Петра I»,mincult,55.6721,37.6796
22998,Экспозиция «Конюшенный двор»,mincult,55.6641,37.6613
22997,Экспозиция «Соколиный двор»,mincult,55.672,37.6808
22991,Московский музей народной графики,mincult,55.769,37.6344
22987,Экспозиция «Усадьба кузнеца»,mincult,55.672,37.6808
22985,Экспозиция «Усадьба пасечника»,mincult,55.6682,37.6646
22984,Экспозиция «Усадьба коломенского крестьянина»,mincult,55.6721,37.6806
22981,Выставочный зал в поселке Ленинском,mincult,54.288,37.4605
22980,Комплекс Передних ворот,mincult,55.6676,37.6693
22907,Народная галерея,mincult,55.7591,37.6414
22891,Музейно-культурный центр «Дом-усадьба художника А. А. Борисова»,mincult,61.8066,46.4722
22885,Усадебный дом Е. К. Плотниковой,mincult,64.5335,40.5219
22879,Выставочные залы Дома барона Фредерикса,mincult,44.4669,34.1435
22854,Музей художественного литья,mincult,55.895,60.7536
22849,Мемориальный музей-квартира народного артиста СССР Г. Ф. Пономаренко,mincult,45.0574,38.9836
22848,Литературный музей Кубани,mincult,45.0162,38.9618
22766,Музей Р. Л. Самойловича,mincult,47.1123,39.4206
22717,Музей города Орла «От основания и затем…»,commercial,52.9216,36.0104
22690,Павильон «Арсенал»,mincult,59.721,30.3778
22687,Мемориальная мастерская народного художника СССР А. И. Курнакова ,mincult,52.9671,36.0553
22665,Старинный особняк на Набережной,mincult,64.5345,40.5166
22663,Музей художественного освоения Арктики им. А. А. Борисова,mincult,64.534,40.5226
22658,Музей изобразительных искусств,mincult,64.5405,40.5177
22644,Художественная галерея г. Мурома,mincult,55.5799,42.056
22641,Музей истории города Заозёрного,mincult,55.9661,94.7077
22630,Музей А. П. Бородина,mincult,56.1769,40.7102
22595,Воротынский районный краеведческий музей,mincult,56.13,46.0058
22560,Дом купца Фонарёва,mincult,53.7698,87.1825
22497,Музей истории и культуры Московского района,mincult,56.3245,43.8822
22425,Музейно-выставочный центр г. Лангепас,mincult,61.2453,75.193
22410,Историко-краеведческий музей им. А. В. Юшкина,mincult,52.9753,50.291
22268,Галерея «РОСИЗО» на ВДНХ,mincult,55.8317,37.6318
22213,Музей шахтерской славы,mincult,56.225,32.773
22212,Музей «Мужество»,mincult,56.226,32.7843
22209,Этнографический зал «Родные истоки»,mincult,56.226,32.7843
22207,Музейно-выставочный центр,mincult,56.2241,32.7717
22170,Осташковская городская художественная галерея,mincult,57.1555,33.0883
22169,Музей-театр «Жигулевская сказка»,mincult,53.443,49.7878
22163,Музей истории Костромского края,mincult,57.7613,40.9374
22115,Дом-музей В. И. Ленина в Самаре,mincult,53.193,50.1109
22104,Художественная галерея Славы Зайцева,commercial,55.7853,49.1267
22091,Музейный объект «Пороховой погреб»,mincult,47.1163,39.4198
22089,Музей занимательных наук Эйнштейна,commercial,48.732,44.542
22054,Дача-музей В. В. Маяковского,commercial,56.0113,37.814
22053,Музей чувашской вышивки,mincult,56.1413,47.2496
22052,Музей Михаила Сеспеля,mincult,56.1513,47.2508
22051,Музей В. И. Чапаева,mincult,56.0889,47.1076
22050,Литературный музей им. К. В. Иванова,mincult,56.1424,47.2484
22049,Музейно-выставочный центр,mincult,56.1451,47.2521
22046,Историко-музейный комплекс в с. Ширяево,mincult,53.4191,50.022
22044,Музей «Гранд Макет Россия»,commercial,59.8881,30.3306
22043,Галерея «Новое пространство»,mincult,53.209,50.1359
22040,Павильон «Дежурные конюшни»,mincult,59.7174,30.3992
21993,Музей П. П. Семенова-Тян-Шанского,mincult,53.487,39.5134
21989,Отдел «Чехов и Крым»,mincult,44.4933,34.1569
21976,Музей истории города Черногорска,mincult,53.8304,91.3121
21970,Выставочный центр Муромского музея,mincult,55.5787,42.0492
21957,Мартыновский районный краеведческий музей им. В. В. Карпенко,control,47.2737,41.6712
21954,Мемориальный отдел им. Е. В. Честнякова в деревне Шаблово,mincult,58.9169,44.1472
21934,Новоторжский кремль,mincult,57.0356,34.9553
21925,Дом-музей Владимира Галактионовича Короленко,mincult,44.4667,38.1642
21924,Музей под открытым небом «Батарея № 394 капитана А. Э. Зубкова»,mincult,44.6507,37.9359
21911,Экспозиция «Дом купца С. А. Вагина»,control,57.8704,39.5323
21908,Музейно-выставочный комплекс «Борисоглебская сторона»,control,57.8708,39.5317
21845,Музей истории Культурного центра МВД по Республике Карелия,othergov,61.788,34.3737
21835,Выставочный комплекс «Атамань»,mincult,45.2178,36.6948
21797,Музей истории Благовещенского собора,mincult,55.7999,49.1059
21786,Филиал Северодвинского музея в селе Нёнокса,mincult,64.6214,39.1908
21775,Музей-театр «Булгаковский дом»,commercial,55.7672,37.5936
21764,Музей спортивной славы ЦСКА,mindef,55.7909,37.5395
21761,Городской историко-краеведческий музей г. Полярного,mincult,69.202,33.4441
21714,Выставочный зал г. Междуреченска,mincult,53.6846,88.0816
21664,Музей «Природа Прикаспия»,mincult,42.0563,48.2919
21663,Музей народной игрушки «Забавушка»,commercial,55.7964,37.7331
21661,Музей культуры и быта Древнего Дербента,mincult,42.0747,48.2867
21645,Филиал Ногинского музейно-выставочного центра,mincult,55.8564,38.4389
21628,Детский музей г. Краснокамска,mincult,58.0787,55.7458
21625,Историко-мемориальный музей-усадьба П. Е. Щербова,mincult,59.5574,30.1336
21624,Выставочный комплекс «Артиллерийский двор»,mincult,55.7556,37.6184
21622,Ивановский районный историко-краеведческий музей,mincult,50.3648,128.0044
21603,Музей барона Мюнхгаузена,commercial,44.052,42.8845
21596,Выставочный комплекс Исторического музея,mincult,55.7563,37.6186
21561,Музей истории мировых культур и религий,mincult,42.052,48.285
21560,Фондохранилище с экспозицией «Глубина»,mincult,54.7066,20.5005
21549,Галерея «Агентство. Art Ru»,commercial,55.7394,37.6382
21548,Салон народного творчества,mincult,58.1875,40.1667
21544,Мастерская художника Владимира Середы,mincult,58.1879,40.1748
21538,Галерея ЦУМ,commercial,55.1645,61.4012
21528,Даниловская художественная галерея,mincult,58.1875,40.1667
21477,Шаранский историко-краеведческий музей,mincult,54.8202,54.0068
21476,Музейно-выставочный комплекс «Княжий Двор»,mincult,55.8181,38.6465
21462,Коломенский краеведческий музей,mincult,55.1052,38.7547
21441,Кочевский районный музей этнографии и быта,mincult,59.6003,54.3049
21430,Дворец царя Алексея Михайловича,mincult,55.6558,37.657
21416,Мстерский художественный музей,mincult,56.3732,41.941
21399,Художественный отдел Мценского городского краеведческого музея,mincult,53.2795,36.5827
21391,Варнавинский музей,mincult,57.4015,45.0843
21382,Музей краеведения,mincult,57.3165,32.0832
21380,Музей Т. Т. Кусимова,mincult,53.6238,58.6122
21363,Музей Мухтара Сагитова,mincult,53.1032,57.4436
21362,Музей почты УФПС Республики Башкортостан,commercial,54.7264,55.9479
21359,Дом-музей Ильи Сельвинского,mincult,44.9486,34.1036
21356,Краеведческий народный музей «Человек и природа»,mincult,55.6902,46.1522
21354,Мценский городской краеведческий музей им. Г. Ф. Соловьева,mincult,53.2782,36.5818
21348,Ядринский художественно-краеведческий музей,mincult,55.9342,46.2085
21347,Дом-музей народного артиста СССР Н. Д. Мордвинова,mincult,55.9417,46.2048
21342,Историко-краеведческий музей Карталинского муниципального района,mincult,53.0552,60.6377
21341,Районный историко-краеведческий музей им. Героя Советского Союза Д. С. Ракшина,mincult,55.41,58.6006
21340,Музей К. Хакимова,mincult,53.4856,54.188
21339,Музей Ф. Карима,mincult,53.5265,54.216
21335,Историко-художественный музей городского округа Электросталь,mincult,55.7836,38.4389
21333,Военно-мемориальный комплекс «Бронепоезд №13 «Тульский рабочий»,mincult,54.2002,37.5789
21329,Архитектурно-этнографический музей «Тальцы»,mincult,51.9965,104.6642
